Name,Location,Brand,Gender,      Age,Reviews
Claudia Anthony,Italy,Dell,Female,60,Wonderful reading device
Bruce Roberts,Russian Federation,Apple,Male,59,good product
Clarke Vasquez,Canada,Amazon,Female,54,Gift for teen
Lawrence Whitley,Canada,Dell,Female,55,best kindle yet
Hunter Pope,South Korea,LG,Female,58,Its a kindle
Carter Bauer,Sweden,Sony,Female,55,Good eReader
Ezekiel Barron,Belgium,Sony,Male,58,Wife loves it!
Kyra Spence,United Kingdom,LG,Female,56,Great reader for our 8 year old
Kirestin Manning,New Zealand,Microsoft,Male,52,The perfect eBook
Mechelle Frazier,South Africa,Dell,Female,53,good
Timon Finch,United Kingdom,Dell,Male,54,Love it!
Noelani Spencer,Turkey,Apple,Female,59,Love it
Willa Dotson,Chile,Amazon,Female,55,Great!
Willow Merritt,Indonesia,Dell,Male,52,Great product for the price
Fallon Osborne,Poland,LG,Male,55,Perfect gift
Wesley Fitzgerald,Mexico,Samsung,Female,57,Love it!
Lionel Gonzales,China,Sony,Female,59,Beautiful Picture
Ramona Middleton,Singapore,Amazon,Female,52,Better than holding an actutal book
Kennan Bass,Nigeria,Sony,Male,51,Perfect Refrigerator for a Family
Cara Smith,Canada,Amazon,Female,50,Still the best reader.
Axel Patrick,Mexico,LG,Male,55,great item.
Leo Parrish,Pakistan,HP,Male,58,"Easy to use, easy to read."
Plato Mcbride,Netherlands,LG,Female,60,Great digital reader
Yoshi Barton,Chile,Amazon,Female,60,great reader - easy to use
Lacota Martinez,Germany,Dell,Male,57,great reader
Francesca Bridges,Ireland,Samsung,Female,52,Lightweight and fairly easy to navigate
Berk Valenzuela,Germany,Sony,Male,60,best reader
Anjolie Reyes,Chile,Dell,Female,53,Perfect for Bookworms
Azalia Knapp,Norway,LG,Female,52,Froze after two years
Jasper Mueller,Netherlands,Amazon,Male,58,Amazing
Willow Mcguire,Pakistan,LG,Female,57,Great e reader. Very easy to set up.
Alexander Madden,China,Apple,Male,51,Love it
Steel Roberts,India,HP,Female,57,Very user friendly.
Porter Brooks,Ireland,Apple,Female,51,Excellent way to always have a book to read!
Rhona Pate,Peru,Dell,Male,56,Take as many books with you as you want
Autumn Duffy,Ukraine,Dell,Female,55,Great upgrade from early version
Yael Sheppard,South Korea,Samsung,Male,56,Happy wife happy life
Jared Rivera,New Zealand,HP,Male,54,TOO MUCH BAGGAGE TO GO THROUGH
Deacon Brady,Peru,Apple,Male,51,Excellent product
Madeline Christian,Ireland,Amazon,Female,58,Great Reading
Madonna Calderon,South Korea,Samsung,Female,58,Very convenient.
Grant Terrell,Philippines,Amazon,Female,55,Nice!
Todd Mcmillan,South Korea,HP,Male,57,Takes some time to learn the features.
Sawyer Mckee,Singapore,Amazon,Male,52,My Son Loves It
Sage O'brien,Canada,Amazon,Female,58,No glare in direct sunlight!!
Basil Vazquez,Australia,Microsoft,Male,52,Kindle paper white
Catherine Hahn,Peru,HP,Female,60,A Wife's Wish
Charissa Marks,Ireland,Amazon,Male,56,Love it!
Shay Fisher,New Zealand,Microsoft,Female,54,The sales clerk recommend this product.
Luke Lara,China,HP,Female,50,Good product.
Meredith May,Italy,Sony,Female,56,great ebook
Katell Stanton,Netherlands,Microsoft,Male,59,love it
Ivory Ford,Colombia,Dell,Male,58,Amazing!
Guy Whitley,Ireland,HP,Female,56,I love it
Sonia Hess,Vietnam,Apple,Male,59,Perfect
Chiquita O'donnell,China,Samsung,Female,55,Does everything its advertised.
Fulton Delaney,Chile,Sony,Male,58,Good product
Graham Sargent,Germany,Sony,Male,58,easy on the eyes
Ryder Gentry,Sweden,Sony,Female,58,Good for reading
Brady Graham,Philippines,Dell,Male,60,Works as advertised
Hamilton Santiago,Sweden,Dell,Male,56,Good accessory device
Sybill Acevedo,Colombia,Samsung,Female,54,Like it very much!
Ian Clayton,Costa Rica,Amazon,Female,51,great purchase
Hall Hewitt,Philippines,Dell,Male,52,great for no glare
Eagan Nguyen,Brazil,Sony,Female,56,Simple no thrills book
Joan Ramsey,Belgium,Dell,Female,57,Great buy!
Karleigh Lancaster,Canada,Dell,Female,57,Great E-Reader for Readers
Shad Sawyer,Australia,Sony,Female,51,tablet
Christian Saunders,India,HP,Male,50,Good Ereader
Jolie Bender,Peru,Apple,Female,58,Read at the beach
Elijah Barnett,China,Amazon,Female,60,Best device for the avid reader!
Sandra Barr,Mexico,LG,Female,58,"was reluctant at first, but so glad I purchased it"
Adria Burris,New Zealand,Samsung,Male,53,Best reader out there
Harrison Wilkins,Netherlands,Samsung,Female,57,Excellent
Leah Branch,Nigeria,Amazon,Female,50,Love it
Galvin Fields,United Kingdom,Sony,Male,50,Can't go wrong with a Kindle
Hedley Beck,Turkey,HP,Male,59,Love it!
Abra Cote,Turkey,Amazon,Female,60,Great reader
Skyler Potter,France,LG,Female,57,Great EReader
Meghan Whitney,Sweden,Dell,Female,53,Great for traveling.
Robin Holloway,Pakistan,Apple,Male,50,Great e-reader in any light.
Hiroko Mays,New Zealand,Microsoft,Male,52,Love It!
Caesar Quinn,Sweden,Sony,Female,52,"Very user friendly, great outdoors"
Olivia Arnold,Vietnam,Microsoft,Male,59,Great for what I wanted.
Odessa Ray,Colombia,Samsung,Male,59,Really a nice laptop for a good price
Cooper Buchanan,Ukraine,Sony,Female,50,"Great quality, very readable, a little large"
Lyle Lyons,Ireland,Sony,Male,53,Best Kindle option
Leo Tanner,Italy,Dell,Female,56,This was an upgrade
Martin Jenkins,India,Apple,Female,58,"best e-reader, period"
Rhiannon Henry,Belgium,Samsung,Male,50,Great ebook
Connor Mcmillan,France,Microsoft,Male,56,Great product
Zephr Moss,Russian Federation,Amazon,Male,60,"Compact, nicely designed reader"
Gillian Beasley,Sweden,LG,Female,54,Great ebook
Adam Aguilar,Sweden,Samsung,Female,60,Kindle paper white is the best
Quinn Ward,Russian Federation,HP,Male,52,Great kindle
Scarlet Bean,Indonesia,Dell,Male,60,great product
Dara Gay,Canada,Samsung,Male,57,Great value
Ivory Frye,Costa Rica,Dell,Male,60,Held more storage than other laptop I own.
Kimberley Stark,Brazil,Sony,Male,59,Good ereader
Katelyn Avery,Chile,Sony,Male,54,Great value
Hayley Stark,Chile,Microsoft,Female,60,Great reading product
Arsenio Barber,Mexico,Dell,Male,59,Perfect Reader
Althea Knapp,United Kingdom,Apple,Female,54,Great device for the traveller
Heather Gibson,Turkey,LG,Male,55,Amazing!!
Bruce Hardy,Canada,LG,Male,58,Simple ereading
Oleg Dean,Nigeria,Sony,Female,55,Excellent Reader
Farrah Conley,Poland,Sony,Female,58,Nice for travel
Dennis Bass,Nigeria,Sony,Female,56,Kindle Reader Paperwhite
Natalie Davenport,Peru,Amazon,Male,52,Great reader for my daughter
Benedict Gallegos,Russian Federation,HP,Female,53,Great for someone just wanting a reader
Kyla Randall,Turkey,Amazon,Female,54,"feels good in the hand, great substitute for book"
Felix Bridges,United States,Amazon,Male,59,Great reader.
Lucius Potts,Ukraine,LG,Female,55,love it!
Teagan Ashley,Russian Federation,LG,Male,52,Easy Read
Alexander Solis,Ireland,Microsoft,Female,55,Excellent for the price
George Glover,Pakistan,Dell,Female,57,very good
Simon Bishop,Peru,Sony,Female,59,Reading
Tanner Prince,South Korea,HP,Female,52,"Excellent outside reader, super battery life"
Mercedes Stout,Chile,Sony,Female,51,Great
Neville Davis,Peru,Amazon,Female,50,Great for reading in the dark
Amber Calderon,Mexico,HP,Male,55,Nice and light
Gail Walton,Sweden,Microsoft,Female,58,easy to navigate
Gary Leon,Turkey,Microsoft,Female,60,Great product
Quinlan Cleveland,Australia,Amazon,Female,60,As advertised
Hamilton Hatfield,Austria,HP,Female,57,Great reader
Rebecca Decker,Ireland,Dell,Female,52,Perfect for all scenarios
Erich Kim,Nigeria,Amazon,Female,60,Love my Paperwhite
Mercedes Mclaughlin,Australia,Samsung,Male,53,perfect reader
Nevada Hunter,Vietnam,Microsoft,Male,52,My Kindle Paperwhite
Freya Solis,Australia,HP,Female,58,Great Kindle!
Fuller Lara,India,Sony,Male,57,Excellent all around
Phillip Chambers,Canada,Amazon,Male,51,great deal
Shay Anderson,Ukraine,HP,Female,57,Kindle Review.
Heather Travis,India,Sony,Female,51,Great ereader
Orla Mcfadden,Costa Rica,Dell,Male,56,Great way to carry a book
Neve Durham,Vietnam,Microsoft,Female,55,Great
Lisandra Cervantes,United Kingdom,Amazon,Female,56,Great Product
Rachel Hill,Colombia,LG,Female,54,Does what it says
Judith Tate,Turkey,LG,Male,51,Great product
Kyle Hood,United Kingdom,HP,Female,58,"Excellent Item, reasonable price."
Skyler Williamson,Australia,Apple,Male,58,Easy to read.
Caryn Mcguire,Italy,HP,Female,55,great product
Zephr Jarvis,Germany,Samsung,Male,57,my kindle paper white
Tanisha Cantu,South Africa,HP,Male,52,great product--exceeded expectations
Tobias Wilkerson,Mexico,LG,Female,58,Best reader
Fitzgerald Good,Chile,Sony,Female,52,Great for travel
Zia Gomez,Italy,LG,Female,60,Great Product
Clinton Tillman,Costa Rica,Microsoft,Male,56,Love for paperwhite
Tana Robinson,Australia,LG,Male,54,Simply amazing
Beau Gallagher,Germany,Amazon,Female,50,My 1st kindle
Quamar Blair,Peru,LG,Male,56,Great Buy
Hakeem Fitzgerald,Spain,Microsoft,Female,59,I love it
Reuben Moss,Spain,HP,Female,58,Excellent Product
David Bonner,Chile,Sony,Male,56,Great e-reader
Lewis Cooley,Costa Rica,Microsoft,Female,59,Nice Little Tablet!
Asher Benson,Australia,Dell,Male,55,Best Kindle yet
Pandora Reeves,France,LG,Male,58,Great Ebook option
Jolene Abbott,Philippines,Apple,Female,58,Great reader for someone with poor vision
Marah Mann,Germany,Microsoft,Female,58,"Great, easy to use."
Mariko Richard,Pakistan,Dell,Male,60,Kindle is Amazing
Grady Benson,Spain,LG,Female,56,it was a gift for a friend
Jamal Dyer,Colombia,Dell,Female,54,Good device to do focused reading only
Maite Harris,Belgium,Microsoft,Male,51,Great way to read books
Jocelyn Slater,Nigeria,Dell,Female,52,Love it!
MacKenzie Morales,Ukraine,Amazon,Female,56,"Excellent, better than a book!"
Elaine Wynn,France,HP,Male,57,Great reader
Tad Molina,Colombia,Dell,Male,57,Love to read? Buy me the amazon kindle paperwhite
Kelsie Rice,France,LG,Male,51,Easy read...light weight great for outdoors ..
Macon Larsen,Netherlands,Microsoft,Female,50,Quite good
Ashton Cortez,Brazil,HP,Female,58,Great upgrade from first gen
Karyn Farley,South Korea,Apple,Female,60,Best e-reader for ~$100
Zeph Hodge,United Kingdom,Sony,Female,58,Kindle paperwhite
Austin Berger,France,Microsoft,Female,53,Great product
Kellie David,Spain,Microsoft,Male,57,Good value
Chloe Moore,Norway,Amazon,Male,50,Just what I expected and wanted
Palmer Gray,Chile,LG,Female,50,perfect
Lane Rogers,United States,HP,Female,59,old paperwhite not charging
Faith Wise,South Africa,Dell,Female,60,Excellent ereader
TaShya Cooke,Netherlands,Amazon,Male,57,Best Kindle
Shad Mckee,Ukraine,Amazon,Male,53,Best Kindle ever!
Simon Mckenzie,Costa Rica,HP,Female,50,Way exceeded expectations!
Dahlia Pitts,South Africa,Amazon,Female,52,Easy to read- very long battery life
Malachi Glover,Spain,LG,Female,52,Pefect
Matthew Witt,South Africa,HP,Male,59,excellent eReader beats the 1st gen. by a mile luv
Jackson Nelson,Costa Rica,Amazon,Male,59,Great ereader
Bert Lewis,Vietnam,Apple,Female,50,Light wgt. and easy to read
Ruth Barker,Turkey,Samsung,Female,53,Great product!
Trevor Eaton,South Africa,Microsoft,Male,56,Love it
India Brown,Italy,Sony,Male,58,Best gift!
Nayda Farley,Poland,Sony,Female,50,great
Travis Underwood,Spain,Dell,Male,25,Just right for an e-reader
Sybill Pruitt,Nigeria,Samsung,Female,19,This is my 4th Kindle
Erin Richardson,Peru,Amazon,Male,27,Amazing
Wynne Ryan,Belgium,LG,Male,18,Love my Kindle Paperwhite!
Gage Cannon,Poland,Sony,Male,23,Great upgrade for Kindle Touch
Mannix Blevins,Canada,LG,Female,27,Perfect for reading
Jennifer Woodard,United States,Dell,Male,25,Great e-reader if you just want to e-read
Xena Hendricks,Germany,HP,Male,23,Best e-reader
Kyla Fitzpatrick,Brazil,LG,Female,30,"Excellent, even for seniors"
Allistair Maxwell,Sweden,Samsung,Female,21,like it
Tyrone Burnett,Vietnam,Dell,Female,28,Love my Paperwhite...and his too!
Blake Fitzgerald,Spain,Apple,Female,28,Great 24 hour a day e-reader
Octavius Rodriguez,Poland,Dell,Male,30,Easy reading
Cassidy Stuart,South Korea,LG,Female,23,Best eReader in the Market
Jillian Maldonado,Philippines,Sony,Female,21,Great product
Morgan Sampson,Sweden,Sony,Male,19,Amazing Device
Fuller Hays,Norway,Dell,Male,18,Great Product
Aileen Neal,Indonesia,Sony,Female,28,Love my Kindle
Maris Miller,China,Sony,Female,20,Great ereader.
Quemby Whitley,Brazil,Microsoft,Female,26,A really well put together device
Aaron Shepard,South Korea,Samsung,Male,25,Awesome
Charles Sweeney,Brazil,Microsoft,Female,25,Pretty Great E-Reader
Winter Pitts,Germany,Microsoft,Male,23,its perfect
Pearl Baird,Australia,Dell,Female,19,Great
Wayne Pacheco,Poland,Apple,Male,22,Good to read on outside
Alika Knight,Mexico,Amazon,Male,22,Amazing e-reader
Upton O'Neill,Indonesia,Apple,Female,24,"Paperwhite is good, but voyager is better!"
Vivien Gomez,Spain,Dell,Female,19,Easy on the eyes
Ryan Sandoval,Chile,LG,Female,19,Better than a book
Cooper Graves,United States,Dell,Female,26,Fantastic Product
Vielka Hayden,Nigeria,LG,Male,21,Easy on the eyes
Shelly Bass,Belgium,Microsoft,Female,27,Perfect for reading in all conditions
Darryl Knox,South Africa,LG,Male,27,Amazon Paperwhite
Price Carney,Colombia,Dell,Male,18,Just what we needed
Ina Mckenzie,Costa Rica,Dell,Male,27,Kindle Paperwhite
Maggy Munoz,Turkey,Apple,Male,20,The Paperwhite Reader is wonderful!
Kaseem Morris,India,Microsoft,Female,27,light & easy to use
Walter Sellers,Nigeria,Sony,Male,22,Perfect for reading on the go
Janna Mcintosh,Italy,HP,Female,26,great way to read books
Lydia Wilder,South Korea,Dell,Female,26,Get your bookworm on
Zachery Contreras,Russian Federation,Sony,Female,25,Must have
Walter Conner,United States,Amazon,Female,24,Great purchase!
Kirsten Talley,Russian Federation,HP,Female,24,Perfect for Reading
Kirby Hester,United States,Amazon,Female,25,love the backlight
Alan Cochran,Brazil,Sony,Female,29,Kindle Paperwhite / Awesome!
Randall Brady,Ireland,Amazon,Male,27,Perfect
Troy Vasquez,New Zealand,Dell,Female,27,Great for reading
Martena Valencia,United States,LG,Male,30,great for reading
Byron Prince,Ukraine,Microsoft,Female,25,Awesome ereader
Alfonso Castillo,Philippines,HP,Female,29,Great reader!
Wylie Stein,Austria,Amazon,Female,25,Loving it!
Denton Howe,South Africa,HP,Male,20,One more great thing from Amazon.
Lydia Garcia,Ireland,Microsoft,Male,24,Nice Amazon to red book
Lynn Hodges,Germany,Microsoft,Male,30,Nice and light
Grace Garrison,South Korea,Amazon,Female,21,Great for reading
Lucius Bowen,Poland,LG,Female,28,Amazing and enjoying it
Nasim Cline,South Korea,HP,Male,22,Works great.
Quin Key,Pakistan,LG,Female,28,Great for just reading!
Barry Chaney,Colombia,LG,Male,30,Love this!
Connor Solis,Vietnam,LG,Female,24,I over reading and this is perfect
Melinda Leonard,Costa Rica,Sony,Female,24,I love my kindle
Ila Dudley,Costa Rica,Microsoft,Male,21,Best Kindle ever
Cody Carpenter,New Zealand,Dell,Female,20,Great E-Reader
Melodie Alexander,Spain,Samsung,Male,21,works better than previous models
Cheryl Bentley,Austria,Sony,Male,21,Perfect e-reader
Quon Lynn,Italy,Amazon,Male,30,Great product got even better
Nasim Bradley,Colombia,Sony,Female,23,Awesome Ereader
Malachi Huber,South Korea,Dell,Female,18,Excellent
Gareth Mcdaniel,Spain,Dell,Female,21,Greatest kindle
Mason Vaughan,Ukraine,Samsung,Female,18,Quality Reader
Barrett Shelton,Germany,Sony,Female,26,Love it
Erin Burnett,South Africa,Samsung,Female,29,Great kindle to replace earlier version
Wanda Patton,Ireland,Dell,Male,24,easy to use
Philip Acevedo,Belgium,Sony,Male,20,Great gift
Minerva Landry,New Zealand,Apple,Male,24,great product great price
Coby Tate,Mexico,Sony,Male,23,Crisp text and great battery life
Nichole Terry,Belgium,Amazon,Male,29,another great kindle upgrade
Breanna Contreras,Nigeria,LG,Male,20,Great for outdoor reading
Lee Hensley,Pakistan,Dell,Male,22,Super upgrade
Nissim Dotson,India,Amazon,Male,23,Great Night Reader
Joan Haley,Norway,Sony,Female,19,I love my Kindle
Zenaida Livingston,Nigeria,Microsoft,Male,30,very easy to user
Leilani Wagner,China,Sony,Male,25,Nice ereader
Hector Griffith,Chile,LG,Female,25,This was a gift and I like it!
Gillian Fuentes,Canada,Amazon,Female,30,The perfect eBook reader
Nerea Chandler,Mexico,HP,Male,29,Easy to use. Easy on the eyes.
Lance Williams,Singapore,HP,Male,23,The best E-reader money can buy
Aurelia Mcgowan,Singapore,LG,Female,21,User friendly
Charde Mendoza,Ukraine,Dell,Male,27,Great device for book reading.
Lucian Rhodes,Norway,Apple,Female,22,Great new version
Kaitlin Mccall,France,Microsoft,Female,27,Excellent!
Holmes Mullins,New Zealand,Sony,Female,20,Good
Idona Chase,Vietnam,LG,Female,25,Best Kindle for readers with multiple interests
Mikayla Mcleod,Canada,Dell,Male,30,Great gift
Garth Bray,China,Dell,Male,23,Love my Kindle paperwhite
Tanner Ferguson,Turkey,HP,Female,29,A Great Way to Read!
Nehru Parker,Singapore,HP,Female,29,Love the lighted screen for reading in bed at nigh
Lani Sheppard,United States,Dell,Male,28,Best E-Reader
Cheryl Patton,France,LG,Male,29,Best Kindle for just books.
Illana Baker,Belgium,Sony,Female,20,Great for reading !
Allen Madden,Chile,HP,Male,29,Great to read
Kuame Rojas,Costa Rica,Dell,Female,25,Feels like a book.
Garrett Pennington,Mexico,Amazon,Male,18,Best e-reader without computer like screen
Leo Hodges,India,Dell,Male,22,A decent compact e-reader.
Abel Bowen,Germany,HP,Male,27,I love it
Gwendolyn Frank,Brazil,Dell,Female,24,Great to read on the go
Logan Gamble,Peru,HP,Male,28,Great Kindle
Laurel Wallace,South Korea,Dell,Male,25,Great product
August Stuart,Austria,Sony,Female,27,Love that I can read inside also.
Alexander Gross,New Zealand,Apple,Female,19,Best E-Reader
Kyla Jensen,Singapore,Apple,Female,18,Perfect E-Reader
Gareth Quinn,New Zealand,LG,Female,28,Great for reading more.
Brianna Norton,Pakistan,Amazon,Male,19,Great unit. Love it.
Leroy Justice,Colombia,HP,Female,26,Kindles are great
Zephania Nolan,Philippines,LG,Female,23,Love it
Ruby Key,Mexico,HP,Male,18,Awesome Gift for my Wife
Seth Kane,Turkey,Samsung,Male,25,its a good product
Byron Ray,Germany,Sony,Female,28,Love it!
Cheyenne Brock,Brazil,HP,Female,22,Definite improvement
Gemma Whitaker,South Africa,Dell,Female,21,Great e-reader with a minor build quality issue
Maia Wall,Pakistan,Amazon,Male,20,Great e-reader
Aphrodite Ramsey,Russian Federation,Dell,Female,18,Great eReader
Natalie Hurley,Poland,Samsung,Male,24,Excellent reader
Gretchen Swanson,Colombia,LG,Female,27,Great device. Easy to carry
Petra Hoffman,South Africa,Dell,Male,18,Kindle Paperwhite Is Kindle's Best Product
Rajah Price,Poland,LG,Male,30,wife loves it
Tallulah Le,South Korea,Microsoft,Female,26,Best E-Reader for the Money
Phoebe Barr,South Korea,Microsoft,Female,29,very easy to read and long battery life
Avram Middleton,New Zealand,Dell,Female,28,Much better than earlier product
Connor Wilson,United Kingdom,Amazon,Female,24,Excellent
Orli Lynn,China,LG,Male,18,Love it!
Karen Lowery,Brazil,LG,Female,26,Good value for kindle.
Inga Hunt,Indonesia,Dell,Male,18,Perfect...If You Don't Have an iPad.
Gray Stephens,Costa Rica,Dell,Male,19,Oh so Happy to Have It
Castor Brock,Pakistan,Dell,Male,18,Great tablet for reading.
Jennifer Fitzpatrick,Canada,Samsung,Male,28,Awesome
Hamilton Beard,Mexico,HP,Female,26,Great for avid readers
Ferdinand Colon,Russian Federation,Sony,Male,28,Great e-reader
Ina Valencia,Russian Federation,HP,Female,23,Kindle Paperwhite is the best
Cole Dunlap,India,Amazon,Female,22,Great Reader
Tobias Holt,Poland,Amazon,Female,29,Great light weight reader
Joseph Silva,Sweden,Amazon,Female,23,Skip the Voyage and buy the Paperwhite
Wade Yates,South Africa,Sony,Female,22,"Easy to read, tons of books"
Dylan Olson,China,Sony,Female,22,Just what you expect
Camille Murray,Russian Federation,Dell,Female,19,Tablet
Lance Slater,Turkey,Amazon,Male,28,Love it.
Sebastian Chambers,Spain,HP,Female,21,Love it!
Fitzgerald Chaney,United States,LG,Male,19,It works
Marny Barber,Italy,LG,Female,22,Great Value
Tarik Fulton,Netherlands,Dell,Female,26,Wonderful!
Francesca Stanton,Chile,Amazon,Female,18,Great for the beach/pool
Kelsey Lyons,Ireland,HP,Male,21,Great for reading outside
Jerry Sanchez,Vietnam,Dell,Male,25,"Solid, all-around Kindle reader"
Carly Jennings,Mexico,Sony,Male,23,Best ebook reader out there
Nelle Weiss,Ukraine,Sony,Female,30,Excellent e-reader.
Raja Vance,Indonesia,Microsoft,Female,19,Great gift
Yvette Perkins,Germany,HP,Male,30,great product
Kirestin Williamson,Vietnam,Microsoft,Female,18,A fun new way to read.
Mia Hewitt,Canada,Microsoft,Male,21,Nice For What It Is
Remedios Gill,Germany,HP,Female,22,Amazing device
Hedda Workman,New Zealand,LG,Female,19,"Great reader, highly recommend."
Richard Robertson,Peru,Amazon,Male,27,Great product to read
Amaya Phelps,Sweden,Sony,Female,22,Great e reader
Rebekah Estrada,India,Microsoft,Male,20,Nice little e-reader
Suki Walters,Mexico,HP,Male,29,great build and battery life
Gray Walters,Costa Rica,HP,Male,19,Great Reader
Basil Hodges,Singapore,Dell,Female,28,Awesome
Victor Robles,New Zealand,Dell,Female,27,Perfect for Dyslexics!
Kato Welch,Canada,Amazon,Female,21,Love this. Easy to carry
Jaquelyn Beard,Costa Rica,LG,Female,28,I love my Paper White and how lightweight it is.
Hyatt Terry,Australia,Samsung,Female,30,Great reader
Moses Robinson,Indonesia,Amazon,Female,25,Wife loves this
Avye Martinez,United Kingdom,Microsoft,Male,23,Excellent Device
Curran Preston,Russian Federation,Apple,Male,21,Great Kindle Paperwhite
Damian Cohen,Ukraine,Microsoft,Male,30,Love this product
Diana Morton,Sweden,Samsung,Male,25,I love my new Kindle!
Tatyana Osborn,United States,Microsoft,Male,18,Does exactly what it says
Moana Charles,India,Dell,Male,21,Amazing Paperwhite!!!
William Kramer,France,Sony,Male,27,Great device
Solomon Guerra,Italy,HP,Male,22,Great ereader
Malik Mckee,Indonesia,LG,Female,29,Amazing product for the avid reader
Wynter Rhodes,Belgium,HP,Male,27,Great product
Cassady Buckner,Pakistan,Microsoft,Male,26,This is my second one. I really like using kindle
Bianca Alvarado,Netherlands,LG,Female,23,2nd one
Shelley Moses,Netherlands,HP,Female,19,Worth the upgrade
Cedric Delacruz,Colombia,Microsoft,Male,25,Kindle is wonderful
James Cantrell,Colombia,HP,Male,25,Great e reader for the price
Kylan Emerson,Germany,Amazon,Female,18,Great for outdoor reading!
Silas Conrad,Mexico,Amazon,Male,25,My favorite way to read!
Sade Blackburn,Ukraine,Apple,Female,28,Great reader
Isaac Wilkins,New Zealand,Microsoft,Female,23,Great reader for my wife
James Walls,Costa Rica,Microsoft,Female,27,Great for reading specially at night
Cooper Dale,South Africa,HP,Male,24,Many improvements.
Kermit Stanton,Costa Rica,Sony,Male,27,Great Reader!
Fulton Vaughan,United States,LG,Female,30,Does not hurt eyes...
Edward Evans,Colombia,Apple,Female,23,Good purchase
Robert Holman,Netherlands,LG,Male,28,Great for reading wherever whenever
Juliet Bond,United Kingdom,HP,Male,28,Love it
Mufutau Conrad,Singapore,HP,Female,19,2015 Kindle Paperwhite is Fantastic
Colin Fields,New Zealand,Dell,Male,19,Must have it for poolside.
Randall Patterson,South Korea,Dell,Female,25,I didn't do my homework.
Madaline Reed,United States,Sony,Male,19,"Easy, convenient, inexpensive for reading books"
Cyrus Holland,Mexico,Samsung,Male,27,Can't go wrong with kindle
Amity Caldwell,Russian Federation,Microsoft,Male,18,Almost Love
Moana Morgan,Australia,LG,Female,23,Great product!
Charissa Decker,Canada,Dell,Male,27,Great device!
Pamela Randall,Singapore,HP,Male,25,Great reader
Jaden Horn,New Zealand,HP,Female,23,Awesome reader
Mufutau Hess,Brazil,Sony,Female,30,Great e-book reader
Mariko Marquez,Sweden,Sony,Female,21,Good e-reader
Blaze Norris,Brazil,Microsoft,Female,28,Love this Kindle
Shelley Butler,France,Sony,Male,28,Excellent reader!!
Rashad Petersen,Netherlands,Amazon,Female,30,User-friendly
Indira Schmidt,New Zealand,LG,Female,23,Great KIndle Paperwhite
Katell Warner,Peru,Dell,Male,21,Great for reading. Better than iPad or tablet.
Indira Lamb,Netherlands,Amazon,Male,19,My first kindle
David Wheeler,Nigeria,Samsung,Female,18,Fantastic
Anastasia Sexton,New Zealand,Samsung,Female,28,Awesome product!!
Cheyenne Dawson,Australia,Amazon,Female,20,Great for reading in the dark
Zachary Hull,South Korea,Microsoft,Male,26,I love this kindle
Luke Mckee,Mexico,LG,Female,25,Great for a light packer who loves to read
Samuel Garza,Italy,Samsung,Male,25,Excellent e-reader
Bo Hood,Philippines,Microsoft,Female,23,Nice Little Device
Cecilia Flores,Indonesia,HP,Male,19,Great for travel
Fallon Silva,Colombia,LG,Male,22,Can't go wrong if all you want to do is read.
Sylvester Lewis,Ireland,Dell,Female,22,Didn't read reviews
Martin Reid,United Kingdom,HP,Female,24,Love the Kindle
Myles Shields,Vietnam,Sony,Female,19,I really like the kindle.
Latifah Manning,Colombia,LG,Female,19,Perfect gift idea.
Alvin Holland,India,HP,Male,26,GREAT for those who like to read
Xandra Stone,France,Samsung,Female,21,Excellent
Leila Duncan,United States,Amazon,Male,27,Kindle
Hunter Deleon,Colombia,Microsoft,Male,27,Excellent Reader Quality
Ross Frederick,New Zealand,Apple,Male,18,Great indoors and outdoors
Byron Holcomb,United States,HP,Male,27,Excellent for reading in low light
Lester Patel,Vietnam,HP,Female,20,Healthy alternate to phone/tab
Meghan Harmon,Ukraine,LG,Male,27,Good product
Jakeem O'connor,Philippines,Microsoft,Female,22,A nearly perfect e-reader
Oliver Bush,Brazil,HP,Female,26,Best ereader so far
Macy Kennedy,Vietnam,Microsoft,Female,26,Excellent upgrade from the basic Kindle
Maryam Cobb,Germany,LG,Female,25,Awesome!
Karen English,Nigeria,LG,Female,24,Excellent Mother's Day Gift
Nichole Gillespie,South Korea,HP,Female,24,Great Kindle
Danielle Fulton,France,LG,Female,25,great reader and easy to use.
Mariam Lawson,Poland,Apple,Male,29,Absolutely perfect companion device!
Ira Hendricks,Australia,LG,Female,27,Great for Reading
Rafael Bean,Pakistan,HP,Male,27,Great eReader
Kaseem Rollins,South Korea,Samsung,Female,30,Very Nice
Alexandra Dennis,Netherlands,Microsoft,Female,25,Great Ereader
Ezekiel Horton,Chile,Sony,Female,29,Excellent ebook reader
Kaye Burke,Austria,Microsoft,Male,25,Great ereader for my mother
Ulysses Lynn,Germany,Microsoft,Male,20,Perfect for outdoor
Ori Wright,Singapore,Dell,Male,24,Love It
Linda Walter,Poland,LG,Female,30,Good one to have
Keefe Booth,Chile,LG,Female,21,Kindle is great
Levi Lawrence,Indonesia,Samsung,Male,28,Should have gotten this Kindle a long time ago!
Austin Bowen,Ukraine,LG,Female,22,Worth it
Alexis Barrera,Colombia,Amazon,Male,28,Wife loves the paper white
Christian Nguyen,Norway,Dell,Female,30,Great
Dai Sears,Norway,LG,Female,24,Great to have
